"HR","WR","HE","WE","Freq"
1,1,1,1,12615
2,1,1,1,53
1,2,1,1,22
2,2,1,1,1004
1,1,2,1,14096
2,1,2,1,98
1,2,2,1,12
2,2,2,1,1288
1,1,3,1,4097
2,1,3,1,36
1,2,3,1,6
2,2,3,1,346
1,1,4,1,566
2,1,4,1,3
1,2,4,1,0
2,2,4,1,38
1,1,1,2,16804
2,1,1,2,77
1,2,1,2,18
2,2,1,2,1528
1,1,2,2,84813
2,1,2,2,349
1,2,2,2,101
2,2,2,2,7532
1,1,3,2,38010
2,1,3,2,229
1,2,3,2,58
2,2,3,2,2609
1,1,4,2,10530
2,1,4,2,31
1,2,4,2,7
2,2,4,2,424
1,1,1,3,5819
2,1,1,3,35
1,2,1,3,10
2,2,1,3,677
1,1,2,3,40447
2,1,2,3,183
1,2,2,3,83
2,2,2,3,4240
1,1,3,3,61599
2,1,3,3,374
1,2,3,3,147
2,2,3,3,5821
1,1,4,3,30351
2,1,4,3,104
1,2,4,3,51
2,2,4,3,1334
1,1,1,4,745
2,1,1,4,1
1,2,1,4,1
2,2,1,4,96
1,1,2,4,9541
2,1,2,4,37
1,2,2,4,7
2,2,2,4,849
1,1,3,4,20893
2,1,3,4,121
1,2,3,4,53
2,2,3,4,1790
1,1,4,4,60942
2,1,4,4,180
1,2,4,4,99
2,2,4,4,2078
